psraid,sample,ilang,cregion,usr,presapproval,presapprovestrength,countrydirection,approverace,approveeconomy,approvehealthcare,approveclimate,approveforeign,obamatough,approverepublicans,approvedemocrats,approvesupremecourt,approvecongress,supremecourtideology,supremecourtpower,equalrights,militarydiplomacy,racismproblem,knowirandeal,approveirandeal,relationshipirandeal,extremerepdem,peoplelikemerepdem,managegovrepdem,governsrepdem,immigrationrepdem,economyrepdem,terroristrepdem,environmentrepdem,abortionrepdem,taxesrepdem,foreignrepdem,healthcarerepdem,educationrepdem,deficitrepdem,gunsrepdem,approveaca,samesexmarriage,gunrights,owngun,approvesyria,groundtroopssyria,successsyria,approvecuba,approveendingembarago,knowconfederate,approveconfederate,rightconfederate,sex,age,education,hispanic,racecmb,religion,attend,income,registered,party,ideology,teaparty2,hh1,hh3,weight
203269,2,1,4,2,1,2,1,1,,1,1,2,,3,3,2,3,2,3,2,2,1,1,1,,1,2,1,2,1,1,1,1,1,1,,,,,,1,1,2,4,,2,2,1,1,1,3,1,2,55,6,2,1,12,5,,1,2,5,2,2,2,2.303030303030303
208048,2,1,2,2,2,2,2,2,2,1,1,2,2,3,2,2,3,2,3,2,5,2,3,,3,4,2,,2,1,2,1,2,2,,,,,,,1,1,2,2,,1,3,1,1,2,3,2,2,49,6,2,1,1,5,2,1,3,3,3,1,,3.151515151515151
200654,2,1,3,2,2,1,2,2,2,2,2,2,2,2,4,3,2,3,1,1,1,3,1,2,2,2,1,1,1,1,1,1,1,4,1,,,,,,2,3,1,4,1,1,3,1,1,2,3,1,1,66,8,2,1,1,5,5,1,1,2,3,2,2,1.393939393939394
205119,2,1,2,2,1,2,1,1,2,1,1,2,2,3,2,2,3,3,3,2,2,2,2,,1,1,2,1,2,1,2,2,1,2,2,,,,,,2,1,2,4,1,2,3,1,1,1,2,1,2,31,8,2,1,2,2,8,1,2,3,2,5,2,2
208695,2,1,3,2,1,1,1,1,1,1,2,1,3,4,2,2,3,2,3,2,2,2,2,1,3,1,2,2,2,2,2,1,2,2,2,,,,,,1,1,2,4,1,2,3,1,1,1,2,1,2,39,8,1,1,2,5,5,1,2,4,2,3,1,1.121212121212121
206782,2,1,2,2,1,1,1,1,1,1,1,1,3,4,2,2,3,2,3,2,2,2,2,1,1,1,2,2,2,2,,,,,,2,2,2,2,2,1,1,1,4,1,2,2,1,1,1,2,1,1,44,6,2,1,12,6,6,1,2,4,2,4,2,1.424242424242424
205397,2,1,3,2,2,1,2,2,2,2,2,2,2,3,4,3,4,3,3,1,1,3,1,2,3,2,4,1,1,4,,,,,,1,4,4,1,1,2,2,1,4,2,2,2,2,2,1,3,1,1,29,6,2,1,12,4,5,1,1,2,1,2,1,1.848484848484848
205399,2,1,3,2,2,1,2,2,2,2,2,2,2,3,4,3,4,2,3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,2,3,1,1,2,1,3,2,2,1,3,1,1,62,6,2,1,1,2,7,1,1,2,1,2,2,2.454545454545455
200172,2,1,3,2,2,1,2,2,2,2,2,2,2,2,4,4,4,3,1,1,1,4,3,1,1,2,1,1,1,1,,,,,,1,1,1,2,1,2,2,1,4,1,1,2,1,1,1,1,2,1,32,4,2,1,1,2,6,1,3,2,1,4,2,5.666666666666667
202306,2,1,1,2,1,1,2,1,1,1,1,1,3,4,2,2,4,2,3,2,2,1,1,1,3,1,2,2,2,4,,,,,,4,1,1,4,1,1,2,2,4,1,2,1,1,1,1,2,1,2,51,7,2,2,1,3,4,1,2,3,2,1,,1.575757575757576
100901,1,1,2,2,2,1,2,1,,2,,2,,2,3,3,3,3,1,1,2,2,2,,1,1,1,1,1,,1,3,,1,,,,,,,2,4,2,4,,2,2,,1,2,3,,2,32,6,2,1,2,1,1,1,3,1,1,3,3,2.363636363636364
101014,1,1,3,2,2,1,1,,,2,,2,2,2,3,4,3,3,3,1,2,3,2,2,2,3,4,1,4,1,1,1,,1,1,,,,,,2,4,2,4,1,,2,1,1,1,2,1,2,83,3,2,1,1,1,,1,1,1,,1,,1.424242424242424
201148,2,1,3,2,2,1,2,2,2,2,,2,2,2,4,3,4,2,3,5,5,1,1,2,3,1,4,4,4,1,,,,,,1,1,1,,1,2,2,1,4,1,1,2,1,1,1,1,2,1,43,4,2,1,12,6,,3,3,5,1,1,,3.151515151515151
101457,1,1,1,2,2,1,2,2,2,2,2,2,2,3,4,,4,2,1,1,1,1,2,2,2,2,1,1,4,1,1,1,1,1,1,,,,,,2,3,1,4,1,2,3,1,1,1,3,2,1,75,3,2,1,2,4,7,1,3,2,1,1,,2.454545454545455
201829,2,1,2,2,1,1,1,1,1,1,1,1,3,4,2,1,4,3,3,2,2,1,1,,3,1,2,2,2,2,2,2,2,2,2,,,,,,1,2,2,2,1,2,2,1,1,1,2,1,2,60,6,2,1,2,2,8,1,2,4,2,2,2,1.757575757575757
100689,1,1,2,2,1,1,1,1,1,1,1,1,3,3,2,2,4,3,3,2,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,2,1,2,2,1,1,1,2,1,2,61,6,2,1,2,3,7,1,2,4,2,2,2,1.090909090909091
202459,2,1,3,2,,,,,,,,,2,,,,,,3,2,2,3,3,,2,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,2,3,,1,36,4,1,1,12,6,4,3,4,,3,1,,4.242424242424242
101266,1,1,1,2,1,2,1,,1,2,1,1,3,2,2,2,2,3,1,2,2,1,2,,1,1,2,2,2,1,2,2,2,2,2,,,,,,1,2,2,4,1,2,1,1,2,1,2,1,2,19,3,2,2,13,4,3,3,2,3,1,4,3,5.030303030303029
101259,1,1,3,2,,,,,1,1,,,2,,,,,,1,2,2,1,3,,3,,,,,,,,,,,,,,,,2,1,2,4,,2,3,,1,2,3,1,2,46,3,2,1,12,6,8,3,5,4,3,3,3,5.606060606060606
205616,2,1,3,2,2,2,2,2,2,2,1,2,3,1,3,3,3,3,1,1,2,3,2,1,3,2,1,1,1,1,,,,,,1,1,1,1,1,2,4,2,4,,2,2,2,1,1,3,2,1,39,6,2,1,2,2,8,1,1,3,3,5,2,1.636363636363637
103016,1,1,3,2,2,1,2,2,2,2,2,2,2,2,3,4,3,3,1,2,5,2,2,2,2,2,1,2,4,1,,,,,,1,1,1,4,1,2,4,1,4,,1,2,2,2,1,3,2,2,59,3,2,1,1,4,2,1,1,1,3,1,,1.848484848484848
101116,1,1,3,2,2,1,2,2,2,2,2,2,2,3,4,4,3,3,1,2,1,1,1,2,2,2,1,1,1,1,,,,,,1,1,1,1,1,2,4,1,2,1,1,3,2,2,1,1,2,2,70,3,2,1,13,2,,1,3,1,1,2,2,2.545454545454545
208381,2,1,3,2,2,1,2,2,2,2,2,2,2,,3,,3,3,3,1,2,3,2,2,3,2,4,1,4,1,,,,,,1,1,4,1,1,2,4,1,3,1,1,3,2,2,1,3,1,1,36,8,2,1,13,2,9,1,1,2,3,4,2,1.757575757575757
203710,2,1,3,2,2,1,2,2,2,2,2,2,2,3,4,4,4,3,1,,1,1,1,2,2,2,4,1,1,4,1,1,1,4,4,,,,,,2,3,1,3,1,1,3,2,1,2,1,2,1,78,8,2,1,1,4,9,1,3,3,1,2,2,1.393939393939394
203605,2,1,3,2,1,1,1,1,1,1,,1,3,3,2,2,1,1,3,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,,,,,,1,3,2,4,1,2,3,2,1,2,3,1,2,64,6,2,2,13,1,1,1,2,1,3,1,,1.363636363636364
202724,2,1,2,2,2,1,2,2,1,1,1,1,3,3,2,2,3,2,3,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,,,,,,1,1,1,3,1,2,2,1,1,1,1,2,2,43,5,2,1,1,4,6,1,2,3,3,6,2,2.303030303030303
100222,1,1,1,2,1,1,1,1,1,1,1,1,3,3,1,2,3,2,3,2,2,1,1,1,,1,3,1,1,1,,,,,,2,2,2,2,2,1,,2,,,,,1,1,1,3,,1,46,8,,,1,1,7,1,,3,3,4,3,2.484848484848484
204576,2,1,4,2,2,2,2,2,2,2,2,,2,3,4,1,3,2,3,1,2,1,3,2,2,2,2,4,1,4,2,1,1,2,1,,,,,,1,2,1,1,1,1,2,1,1,1,3,2,1,46,3,2,3,1,4,3,3,3,3,,7,2,4.939393939393939
201703,2,1,3,2,2,1,2,2,2,2,2,2,2,3,4,4,3,,,2,2,1,2,2,2,1,1,1,1,1,,,,,,1,1,1,1,1,2,4,1,1,,2,3,2,2,1,3,,1,54,4,2,1,13,1,2,1,1,,3,4,2,2.090909090909091
200619,2,1,3,2,2,1,2,2,2,2,2,2,2,2,4,2,4,3,3,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,,,,,,2,1,1,3,1,2,2,1,1,1,3,2,2,47,6,2,1,2,4,9,1,1,2,3,4,2,2.363636363636364
200317,2,1,2,2,2,2,2,1,1,2,2,1,3,3,2,2,2,3,1,2,2,1,2,2,3,2,2,2,2,2,,,,,,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,3,1,1,30,3,2,2,12,3,2,3,3,4,3,3,2,4
203344,2,1,4,2,,,2,1,2,,1,,,3,3,3,3,3,1,,2,3,1,,1,,4,4,4,,,,,,,4,,4,4,2,,,2,,1,,,1,1,1,2,1,1,67,6,2,1,2,2,,1,,,3,,,1.818181818181818
103259,1,1,2,2,2,1,2,2,2,2,2,2,2,3,4,3,3,3,1,2,1,1,1,2,2,2,1,1,1,1,,,,,,1,1,1,1,1,2,,1,4,1,1,2,2,2,1,2,1,2,85,6,2,1,1,3,7,1,1,2,3,2,2,1.454545454545454
204113,2,1,1,2,1,1,2,1,1,1,2,,3,2,2,1,2,2,3,1,1,4,1,2,,1,1,,,2,,,,3,,,,,,,1,,1,4,2,,3,,1,1,2,1,2,55,8,2,1,2,6,2,1,4,3,,2,2,1.515151515151515
102095,1,1,3,2,1,1,2,2,2,1,,2,2,,4,4,2,3,1,2,2,2,1,2,2,2,1,4,3,2,3,4,2,1,4,,,,,,1,4,1,3,2,1,2,1,1,1,2,1,1,33,4,2,1,13,2,2,3,1,2,3,4,3,2.727272727272727
201102,2,1,3,2,2,1,2,2,2,2,2,2,2,2,4,4,2,3,3,5,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,,,,,,2,,1,3,1,1,4,1,1,1,3,2,1,61,3,1,1,2,4,9,1,3,2,3,3,3,4.181818181818182
206602,2,1,4,2,1,1,1,1,1,1,1,1,3,3,3,2,3,1,3,1,2,3,1,1,1,1,2,2,4,2,,,,,,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,33,6,2,1,12,5,9,1,3,3,2,2,2,2.454545454545455
100447,1,1,2,2,2,1,2,2,2,2,2,2,2,2,4,4,2,2,1,2,1,2,3,,,2,1,1,4,,,,,,,1,1,1,1,,2,1,1,3,1,1,2,1,1,1,3,2,2,62,5,2,1,13,3,4,1,1,3,3,2,2,2.303030303030303
204855,2,1,1,2,1,2,1,1,1,1,,1,3,3,1,1,3,3,3,2,2,2,1,1,3,1,2,2,2,2,2,2,,2,2,,,,,,,2,2,4,1,1,2,1,1,1,2,1,1,63,6,2,3,6,4,8,1,2,2,3,3,3,1.545454545454545
202491,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,1,2,2,2,3,1,1,1,4,4,,,,,,1,1,4,2,4,2,2,2,4,1,1,3,1,1,1,2,1,1,57,8,2,1,1,3,8,1,1,3,2,3,3,2.060606060606061
205453,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,2,4,2,1,1,1,2,1,1,1,1,1,1,4,2,2,2,2,2,2,,,,,,1,1,2,4,1,1,3,1,1,1,2,1,1,42,8,2,1,9,6,9,3,3,3,3,1,,3.151515151515151
100119,1,1,3,2,2,1,2,2,2,2,2,2,2,2,4,4,4,3,3,,2,3,3,,3,1,1,1,1,1,,,,,,1,1,1,1,1,2,3,2,4,2,2,4,1,1,1,3,2,2,94,,,1,2,,,3,3,5,3,1,,1.121212121212121
202436,2,1,1,2,1,2,2,1,1,1,1,1,3,3,3,2,4,2,3,2,5,2,1,1,3,3,2,3,4,2,2,3,2,2,3,,,,,,1,2,2,1,1,1,3,1,1,2,2,1,1,64,8,2,1,5,6,8,1,2,3,2,2,2,1.757575757575757
201081,2,1,1,2,2,1,2,2,2,2,2,2,2,,,,3,2,3,,5,1,2,2,3,2,,2,2,4,,2,,,2,,,,,,2,2,1,3,1,2,3,,2,1,1,2,1,34,3,2,1,12,4,6,2,3,2,3,4,2,5.393939393939394
101634,1,1,3,2,2,1,2,2,2,2,2,2,2,4,4,4,4,3,2,2,1,1,1,2,2,4,4,4,1,1,,,,,,4,4,4,4,4,2,3,1,4,2,1,,2,2,1,1,2,1,59,8,2,1,7,3,7,1,3,2,3,2,2,2.696969696969697
203402,2,2,4,2,2,1,2,1,1,2,,2,3,,,,4,3,1,,2,1,3,1,2,,,,,,,,,,,,,,,,2,2,2,4,,1,1,,1,3,,,1,30,1,1,1,2,2,,1,,4,3,7,5,3.727272727272727
205490,2,1,1,2,2,1,2,2,2,2,,2,2,2,4,2,4,2,3,2,5,1,1,2,,2,1,3,3,1,,,,,,3,3,3,3,1,1,,1,1,1,1,3,1,2,1,1,1,1,51,4,2,1,1,5,3,1,1,2,3,1,,2.484848484848484
102332,1,1,3,2,1,1,2,1,1,1,1,1,3,4,1,3,3,1,1,2,2,1,1,1,1,2,2,2,2,2,,,,,,2,2,2,2,2,1,3,2,2,1,2,1,1,1,1,2,1,2,61,3,2,1,1,2,7,1,2,2,2,2,2,3.545454545454545
200678,2,1,1,2,1,1,2,2,1,1,2,1,2,3,4,1,4,3,3,2,2,1,1,1,1,1,2,1,2,2,,,,,,2,2,2,2,1,1,3,1,2,2,1,2,1,1,1,2,1,2,64,6,2,2,13,1,2,1,2,3,2,5,3,2.424242424242424
204286,2,1,1,2,1,1,1,1,1,1,1,1,3,4,2,3,4,1,1,2,2,1,2,1,1,1,2,2,2,1,,,,,,2,2,1,2,2,1,1,2,2,1,1,2,1,1,1,2,1,2,47,5,2,1,9,6,6,1,2,4,2,3,3,5.454545454545454
206347,2,1,4,2,2,1,2,2,2,2,1,2,3,3,4,3,3,3,1,5,2,1,1,2,3,2,2,1,4,1,1,1,2,1,1,,,,,,2,3,2,4,2,2,2,2,2,1,3,2,1,63,7,2,1,12,6,3,1,1,3,3,1,,2.545454545454545
102063,1,1,3,2,2,1,2,2,2,2,2,2,2,2,4,3,3,3,1,5,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,2,3,1,1,1,1,1,1,1,1,3,1,1,53,8,2,1,13,2,7,1,1,2,1,5,4,1.878787878787879
100874,1,1,1,2,1,1,2,1,1,1,,1,2,3,2,2,2,2,1,2,2,1,3,,1,2,2,1,2,2,,,,,,2,1,2,2,2,1,4,2,4,2,2,2,1,1,2,1,1,2,73,3,2,2,1,4,2,1,2,3,3,2,2,5.666666666666667
204734,2,1,4,2,1,1,1,1,1,1,2,1,3,3,2,2,3,2,3,2,1,1,1,1,3,1,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,4,1,2,3,1,1,1,3,1,2,52,8,2,1,10,5,9,1,3,3,2,2,2,2.575757575757576
100722,1,1,4,2,,,1,1,1,1,,,2,3,4,4,3,3,1,2,2,3,2,1,1,1,2,2,2,2,,,,,,1,1,1,2,2,1,2,1,3,1,1,4,1,1,1,1,2,2,65,4,2,1,12,5,7,1,3,3,2,2,2,1.787878787878788
206763,2,1,1,2,2,1,2,2,2,2,2,2,2,3,3,2,3,2,3,2,1,2,1,2,,2,1,1,3,1,,,,,,1,1,1,1,1,2,2,1,4,2,2,3,1,1,1,3,1,2,62,5,2,1,2,2,,1,1,2,3,1,,2.181818181818182
208368,2,1,2,2,1,1,,,1,1,,1,3,3,2,4,4,1,1,5,2,1,1,1,1,1,2,1,3,1,,,,,,3,2,1,2,1,1,,1,2,2,2,1,1,1,1,2,1,1,20,4,2,2,1,3,4,1,3,,3,3,3,5.909090909090908
103077,1,1,4,2,2,1,2,2,2,2,2,2,2,1,4,1,4,2,1,2,1,3,1,2,2,2,4,1,1,,1,1,4,1,1,,,,,,2,2,2,4,1,1,,2,2,1,3,1,1,74,5,1,1,12,4,7,1,3,3,2,2,2,4.666666666666667
100619,1,1,1,2,1,2,2,,,,,,1,2,2,3,3,2,3,2,5,1,1,1,1,,,,,2,,,,,,4,2,4,1,2,2,,2,4,,1,2,1,1,1,2,1,1,71,8,2,1,2,4,9,1,3,3,3,1,,1.060606060606061
202933,2,1,3,2,2,1,2,2,1,1,2,2,2,,,,4,1,3,1,2,2,1,2,2,3,4,3,4,1,4,1,2,2,2,,,,,,1,1,2,4,2,2,4,1,1,1,1,2,2,60,4,2,1,12,5,6,1,3,3,3,4,2,4.878787878787879
201166,2,1,3,2,,,,1,1,1,,,2,2,3,3,2,2,1,1,2,4,3,,3,1,,,2,3,,,,,,3,1,2,3,2,1,2,1,4,2,2,2,1,1,3,3,2,2,18,2,1,1,11,6,,3,3,3,3,3,3,4.454545454545454
205776,2,1,1,2,2,1,2,2,2,2,2,2,2,2,4,2,2,2,1,2,1,1,1,2,2,2,4,1,4,2,,,,,,1,1,1,1,1,2,,1,3,2,1,3,1,1,1,3,2,2,39,4,2,1,1,3,6,1,3,4,1,5,3,4.121212121212121
102106,1,1,2,2,1,1,2,2,1,1,1,2,3,4,2,2,3,2,3,5,2,1,1,1,3,2,2,3,2,2,,,,,,2,2,2,2,2,1,1,2,4,1,1,2,1,1,1,2,1,2,27,6,2,1,13,5,8,1,2,4,2,2,2,2.424242424242424
201977,2,1,3,2,,,1,1,2,2,2,1,2,2,3,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,,,,,,2,1,1,1,1,2,2,2,4,2,2,2,1,1,2,3,2,1,21,3,1,1,12,4,5,1,2,3,3,5,3,3.636363636363636
100696,1,1,4,2,2,1,2,1,2,2,2,2,2,4,3,2,3,2,1,2,2,3,2,2,3,1,1,4,1,1,1,1,4,4,4,,,,,,2,,1,1,1,2,3,1,1,2,3,,2,67,3,2,1,1,4,2,1,3,2,3,1,,1.181818181818182
101173,1,1,4,2,2,1,2,2,2,2,2,2,2,2,3,3,2,3,2,1,1,2,1,2,3,2,1,1,1,1,1,1,1,,1,,,,,,2,3,1,3,1,1,3,2,1,2,3,2,1,60,6,2,1,5,5,6,1,1,2,3,4,3,1.606060606060606
100081,1,1,1,2,2,1,2,2,2,2,2,2,2,3,2,4,3,3,1,1,1,2,1,2,2,2,1,1,1,1,,,,,,1,1,1,1,1,2,2,1,1,1,1,4,1,1,1,3,2,1,35,3,2,1,1,3,4,3,3,2,1,3,2,4.212121212121212
205973,2,1,4,2,1,1,2,1,1,1,1,1,3,3,1,3,3,1,1,2,2,1,3,1,,1,2,2,2,2,,,,,,2,2,2,2,2,1,3,2,4,,2,,1,1,1,3,1,1,32,3,2,2,12,5,6,3,,3,3,2,2,5.96969696969697
201585,2,1,4,2,1,,1,2,1,1,,1,3,,2,2,4,2,3,1,2,2,1,1,1,1,2,2,2,1,,,,,,2,2,1,2,2,1,2,2,4,1,2,2,1,1,1,2,1,1,49,8,2,1,2,3,7,1,2,3,2,1,,1.181818181818182
103093,1,1,4,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,1,1,5,2,1,2,3,2,1,1,1,1,1,1,2,4,4,,,,,,2,3,1,2,1,1,3,1,1,1,3,2,1,67,6,2,1,1,4,7,1,3,2,3,3,3,1.696969696969697
103060,1,1,3,2,2,1,2,2,2,2,2,2,2,2,4,4,3,3,1,1,5,3,1,2,2,2,4,1,1,1,1,1,1,1,1,,,,,,2,4,1,2,1,1,2,2,2,1,3,1,2,50,8,2,1,13,2,6,1,1,2,1,4,2,6.727272727272728
204552,2,1,4,2,1,1,2,1,1,1,1,1,3,3,2,3,3,1,3,2,2,1,1,1,3,3,2,2,2,2,,,,,,2,2,2,2,2,1,1,2,4,1,2,2,1,1,1,2,1,2,72,8,2,1,10,6,6,1,2,5,2,2,2,2.393939393939394
206431,2,1,2,2,1,1,1,1,1,1,2,1,2,3,3,2,4,1,3,2,2,2,2,1,1,1,4,4,4,4,2,4,4,4,4,,,,,,1,1,2,4,,1,2,1,1,1,2,1,2,53,4,2,,,2,7,1,3,4,2,1,,5.090909090909091
101945,1,1,4,2,1,1,1,1,1,1,1,1,3,3,2,2,3,2,3,2,2,2,1,1,1,1,2,2,2,2,,,,,,2,2,2,2,2,1,1,2,4,2,2,2,1,1,1,3,1,1,36,8,2,1,1,2,2,1,2,3,2,5,2,1.727272727272727
102210,1,1,1,2,2,1,2,1,2,1,1,2,2,4,2,2,4,2,3,2,5,1,1,2,3,1,4,4,4,2,2,4,2,2,2,,,,,,1,1,2,4,2,2,4,1,1,1,2,1,2,73,8,2,1,5,4,6,1,2,5,2,2,2,1.272727272727273
202366,2,1,2,2,2,2,2,2,1,2,1,1,2,2,3,2,3,2,3,1,2,1,3,2,3,2,1,1,1,1,1,1,2,1,1,,,,,,2,2,1,3,1,1,2,1,1,1,3,2,1,19,3,2,4,2,4,8,2,1,2,1,5,4,2.454545454545455
100407,1,1,2,2,1,1,1,1,1,1,1,1,3,4,2,3,4,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,,,,,,1,1,2,4,1,2,3,1,1,1,2,1,2,79,3,2,1,1,3,3,1,5,3,2,2,2,2.090909090909091
100613,1,1,3,2,1,2,2,1,2,1,2,2,2,2,2,2,3,1,3,1,2,3,2,2,2,1,2,2,2,3,,,,,,2,2,3,1,2,1,1,1,4,1,2,3,2,1,1,3,2,2,62,6,2,1,1,4,5,1,2,3,3,3,3,1.727272727272727
100821,1,1,3,2,2,1,2,2,2,2,1,2,2,2,3,4,3,3,1,2,2,1,1,2,3,2,1,1,1,2,2,2,2,2,2,,,,,,2,4,1,4,1,1,2,1,1,1,1,2,2,51,3,2,1,2,4,8,1,1,2,3,3,3,6.727272727272728
101037,1,1,3,2,1,1,1,2,2,2,2,2,2,4,2,2,2,3,3,2,2,1,2,2,3,2,2,2,2,2,,,,,,2,2,2,2,2,2,3,1,3,2,1,3,1,1,1,3,1,2,52,4,2,1,1,3,4,1,2,3,3,3,3,3.454545454545454
205479,2,1,3,2,2,1,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,1,2,2,3,2,,4,4,4,4,4,4,4,4,,,,,,2,4,1,1,2,1,4,,1,1,1,2,2,70,2,2,1,1,6,2,3,3,4,3,2,2,4.03030303030303
206672,2,1,2,2,2,2,2,,2,2,2,1,2,3,3,3,3,3,1,2,1,1,1,1,3,1,4,4,4,4,4,4,,4,4,,,,,,2,2,2,4,1,1,3,1,1,1,2,1,2,64,8,2,1,2,5,7,1,3,2,2,1,,1
208638,2,1,1,2,2,1,2,2,2,2,,2,2,,,2,2,2,3,2,1,2,2,2,2,3,,4,4,,,,,,,3,4,,4,2,1,2,1,3,1,2,3,2,1,2,3,1,1,55,3,2,1,9,5,8,1,3,3,3,3,3,4.606060606060606
204352,2,1,2,2,2,1,2,,,2,,2,3,1,4,3,3,,2,5,2,1,3,,3,1,1,1,1,4,1,1,3,4,3,,,,,,2,1,1,2,,1,2,,1,1,3,2,1,25,4,2,1,12,5,3,3,1,3,3,3,3,4.181818181818182
204462,2,1,4,2,1,1,1,2,1,1,1,,3,3,3,3,3,1,3,2,5,1,2,1,1,1,2,2,4,4,,,,,,2,2,2,4,4,1,2,2,4,1,1,1,1,1,2,3,1,1,33,5,2,1,13,4,4,3,2,3,2,2,2,6.727272727272728
102315,1,1,2,2,1,2,1,2,1,1,1,1,3,4,2,1,3,2,3,2,2,1,1,1,3,1,2,,2,1,,,,,,2,2,1,1,1,1,3,1,1,1,2,4,1,1,2,3,1,1,77,6,2,1,1,2,,1,1,3,3,2,2,2.424242424242424
208385,2,1,3,2,2,1,2,2,2,2,,2,2,2,3,3,3,1,1,2,2,2,2,2,2,1,1,1,2,1,,,,,,1,1,1,1,1,2,4,1,1,1,2,3,1,1,2,3,1,1,49,3,2,1,1,2,3,3,3,4,3,3,1,4.636363636363636
200657,2,1,3,2,2,1,2,2,2,2,,2,2,3,3,3,3,2,1,1,2,2,2,2,3,2,1,2,2,2,,,,,,1,1,2,2,2,2,4,1,3,2,2,3,1,1,1,1,2,1,66,3,2,1,2,2,2,1,3,2,2,4,3,2.666666666666667
204757,2,1,4,2,,,,,,2,,2,2,,3,2,,2,3,5,5,2,3,,,3,1,1,4,4,,,,,,1,,1,1,4,2,1,,2,,,,,,1,3,1,2,35,7,2,1,10,4,5,1,3,3,2,1,,2.545454545454545
208212,2,1,3,2,,,2,1,1,2,1,2,2,4,1,4,3,3,3,2,2,2,2,1,1,1,2,2,2,2,,,,,,2,2,2,2,2,2,4,2,4,1,1,2,1,1,1,3,1,2,45,8,2,1,6,2,5,1,2,3,3,4,4,2.484848484848484
208890,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,3,3,2,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,,,,,,2,1,1,4,2,2,3,1,1,2,2,1,1,21,3,2,1,2,4,9,3,3,3,3,3,3,2.878787878787879
208632,2,1,2,2,1,1,1,1,1,1,1,1,3,4,3,3,3,1,3,2,2,1,2,2,3,1,2,1,1,1,1,1,3,2,1,,,,,,1,3,2,4,1,2,1,1,1,3,3,2,1,34,5,1,4,2,2,4,3,2,2,2,4,2,4.03030303030303
206375,2,1,4,2,1,2,1,1,1,1,1,1,3,3,3,2,4,1,3,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,1,,,,,,2,2,1,2,1,1,1,1,1,2,2,1,1,49,5,2,1,11,5,6,3,3,3,3,1,,3.666666666666667
102797,1,1,1,2,2,2,2,1,1,2,2,2,2,3,3,2,2,2,3,1,2,3,2,1,3,2,2,1,1,2,,,,,,1,1,2,1,1,2,2,2,4,1,2,2,1,1,1,3,1,1,56,4,2,1,12,2,6,1,3,3,3,4,4,3.818181818181818
201680,2,1,2,2,2,1,2,2,2,2,2,2,2,1,4,4,3,3,3,1,1,2,3,,3,2,1,1,1,1,1,1,1,1,1,,,,,,2,2,1,3,1,2,3,1,2,3,3,1,1,72,6,2,1,1,4,9,1,1,2,1,2,2,2.303030303030303
207995,2,1,4,2,,,2,1,1,2,,1,,4,4,4,,,1,5,1,,2,1,3,4,4,4,4,4,,,,,,4,4,4,4,4,2,2,2,4,1,2,3,1,1,2,3,1,1,40,7,2,1,12,5,3,3,4,,1,1,,2.363636363636364
100402,1,1,3,2,2,,2,2,,,,2,3,,3,4,3,3,1,,5,1,2,,1,2,2,2,,1,,,,,,,2,,2,,,3,2,1,2,2,3,2,2,1,1,2,1,66,4,2,1,1,2,4,1,,3,3,1,,1.090909090909091
204915,2,1,4,2,2,1,1,2,1,2,2,2,2,3,3,3,3,3,3,1,5,3,2,2,1,2,1,1,4,1,1,1,1,2,1,,,,,,2,2,1,3,1,1,2,1,1,1,2,1,1,52,6,2,1,12,5,9,1,1,2,1,2,2,1.393939393939394
206086,2,1,3,2,1,2,2,2,1,2,1,1,3,3,2,2,2,2,1,2,2,1,2,2,3,1,4,4,2,4,2,3,2,2,2,,,,,,1,2,,2,2,2,3,2,2,1,2,1,2,23,6,2,2,13,2,8,1,3,4,1,3,3,2.121212121212121
203941,2,1,2,2,2,1,2,1,2,2,1,2,1,4,4,4,4,2,3,2,1,3,2,2,3,1,4,4,4,4,,,,,,1,,,4,4,2,3,1,4,1,1,4,2,2,2,3,,1,52,3,2,1,13,4,4,1,1,2,1,6,3,5.121212121212121
206575,2,1,3,2,2,1,1,1,2,2,2,2,2,3,4,2,4,2,1,1,1,2,1,2,3,2,1,1,4,4,1,1,1,4,1,,,,,,2,1,1,4,1,1,3,1,1,1,2,1,1,49,8,2,1,1,1,9,1,3,2,2,4,2,2.666666666666667
